patient_id,mean_difference,min_difference,max_difference,mean_percent_improvement,n_sizes,always_pretrained_better
80,0.11861412460410685,0.1025177653389942,0.12498915071703068,61.49412796428871,6,True
81,0.16689228862390057,0.16289585404766044,0.17118968257713482,99.22030640235425,6,True
82,0.13688727783425747,0.1271434631774211,0.1427510705654855,85.9779159827267,6,True
83,0.12112369987921225,0.10885978928649392,0.12900090121411092,65.26158364271768,6,True
84,0.190345872405098,0.18676899484676412,0.19534226487153655,114.73460502186566,6,True
85,0.14305315889883277,0.1384814874759122,0.15028556908531038,84.11988386792028,6,True
86,0.11442740906560084,0.10039287261827015,0.1289262411832105,75.99117539517364,6,True
87,0.16321595612738388,0.15480310354031712,0.17249562209806088,98.85121900584808,6,True
88,0.15667884259524548,0.14556879333962597,0.16392498501722647,87.39008694012541,6,True
89,0.024220007541794774,-0.0011017601975625152,0.04255329824157074,27.324183456889926,6,False
90,0.08062889533651153,0.07795400220692898,0.0830413104859099,61.15452397172587,6,True
91,0.06617906962771027,0.04974477569175652,0.07579636474892733,57.49862429787083,6,True
92,0.1906223268036876,0.17741720655562276,0.20104040245955593,109.8328164672351,6,True
93,0.16346212357226161,0.14901977239314645,0.1777518948609001,93.53896812145932,6,True
94,0.07039195648144587,0.058288440761625954,0.09854833478511663,32.852946531285816,6,True
95,0.061872115356288414,0.05392130412017693,0.06588683264816253,47.346800516020444,6,True
96,0.08042391011071036,0.07321582398762644,0.08564003814742363,66.20084537130145,6,True
97,0.08656638223025094,0.08061695158776783,0.09002037381340947,61.579636030878135,6,True
98,0.13581424514265814,0.13046583526764965,0.1405114197796575,88.7226747308538,6,True
99,0.138427618456778,0.11879701707119444,0.1532145546583682,81.15989128647628,6,True
