patient_id,condition,finetune_size,seed,ssim_mean,ssim_sd,n_eval_images
83,pretrained,100,0,0.3018021602378443,0.06422623284168408,20
83,pretrained,100,1,0.3005010381136265,0.06339490755162298,20
83,pretrained,100,2,0.3062668859997163,0.06453109795925073,20
83,pretrained,100,3,0.31952714986058023,0.06555377072847861,20
83,pretrained,100,4,0.3039099386535543,0.0643994585058602,20
83,pretrained,200,0,0.303960610893382,0.062480289134475654,20
83,pretrained,200,1,0.3169503205802041,0.059779978018243855,20
83,pretrained,200,2,0.303289703240229,0.06445004646561289,20
83,pretrained,200,3,0.31898064685705124,0.061083186978637065,20
83,pretrained,200,4,0.30669351290413066,0.063016814518279,20
83,scratch,5,0,0.1951999861835721,0.058336743198471125,20
83,scratch,5,1,0.18939621288360792,0.05130376502639615,20
83,scratch,5,2,0.17349062309685953,0.057186508604053415,20
83,scratch,5,3,0.15517757333790858,0.06113256509052756,20
83,scratch,5,4,0.21948517447254773,0.060588492277106984,20
83,scratch,10,0,0.184656187012815,0.056766861108738256,20
83,scratch,10,1,0.19069575382226647,0.058372941573230294,20
83,scratch,10,2,0.1972116470221441,0.062478586208183536,20
83,scratch,10,3,0.1959708045148801,0.061308651591497315,20
83,scratch,10,4,0.18447055595070538,0.056403383555985086,20
83,scratch,20,0,0.18831552679695449,0.054641430278846326,20
83,scratch,20,1,0.18559930765032442,0.05525121103616667,20
83,scratch,20,2,0.21440253450117522,0.05969254377229993,20
83,scratch,20,3,0.19051058752553704,0.05438432275459833,20
83,scratch,20,4,0.19877010485675492,0.05254333500685472,20
83,scratch,50,0,0.16767111033275556,0.05105301747749398,20
83,scratch,50,1,0.17766468580910852,0.052503828695807275,20
83,scratch,50,2,0.17223686808871577,0.05181080532820161,20
83,scratch,50,3,0.20717262945509832,0.05898284273759218,20
83,scratch,50,4,0.1815969614428745,0.05924952029904714,20
83,scratch,100,0,0.1746502300483011,0.05334561891759129,20
83,scratch,100,1,0.17415057817787577,0.05298271043086248,20
83,scratch,100,2,0.18139714094702059,0.05131257237570816,20
83,scratch,100,3,0.18439624757981057,0.05261320376587543,20
83,scratch,100,4,0.17240847004175902,0.04909605301045718,20
83,scratch,200,0,0.18223580441022674,0.05035392598199772,20
83,scratch,200,1,0.1885324387734832,0.054261693966789634,20
83,scratch,200,2,0.186873248109166,0.05478044554523532,20
83,scratch,200,3,0.1781945175824695,0.04981632775052949,20
