finetune_size,n_patients,pretrained_mean_ssim,scratch_mean_ssim,mean_difference,ci95_low,ci95_high,pct_improvement_vs_scratch,paired_t,p_ttest,wilcoxon_W,p_wilcoxon,cohens_dz,n_pretrained_better,n_scratch_better,n_equal,p_ttest_holm,p_wilcoxon_holm,significance_ttest_holm,significance_wilcoxon_holm
5,20,0.27117673246159135,0.15861838905894446,0.11255834340264695,0.09019985287882808,0.13491683392646583,70.96172396557306,10.536816875679088,2.2521515591835478e-09,1.0,3.814697265625e-06,2.3561038800485385,19,1,0,2.4840031841654183e-09,1.1444091796875e-05,***,***
10,20,0.28160573500476144,0.1581074482827673,0.12349828672199417,0.10117604146507733,0.145820531978911,78.11035347374882,11.579699166115358,4.719752423296491e-10,0.0,1.9073486328125e-06,2.589299449443157,20,0,0,1.625834017620773e-09,1.1444091796875e-05,***,***
20,20,0.2807637277837787,0.15907232968986482,0.12169139809391383,0.09837845831076482,0.14500433787706285,76.50067006070095,10.925392755882175,1.2420015920827092e-09,0.0,1.9073486328125e-06,2.4429920883036305,20,0,0,2.4840031841654183e-09,1.1444091796875e-05,***,***
50,20,0.2789896222332676,0.15714124167981394,0.12184838055345366,0.10109327989653619,0.14260348121037114,77.54067566917163,12.287658619669035,1.7347707135097648e-10,0.0,1.9073486328125e-06,2.7476039957891194,20,0,0,1.0408624281058589e-09,1.1444091796875e-05,***,***
100,20,0.27970385379962714,0.15833659751858734,0.12136725628103977,0.09962481131011526,0.14310970125196426,76.65142372835967,11.683349648737654,4.0645850440519326e-10,0.0,1.9073486328125e-06,2.612476401947568,20,0,0,1.625834017620773e-09,1.1444091796875e-05,***,***
200,20,0.2796893503613297,0.15769883120625747,0.12199051915507231,0.10097006051315482,0.1430109777969898,77.35664127752372,12.146694577451296,2.1096317846893675e-10,0.0,1.9073486328125e-06,2.7160834777109186,20,0,0,1.0548158923446837e-09,1.1444091796875e-05,***,***
