finetune_size,n_patients,mean_pretrained,mean_scratch,mean_paired_difference,wilcoxon_stat,p_value,rank_biserial,ci_low,ci_high,p_corrected,significant
5,20,0.27117673246159135,0.1586183890589445,0.11255834340264692,1.0,3.814697265625e-06,0.9904761904761905,0.09180689078784239,0.13211858302770643,1.1444091796875e-05,True
10,20,0.2816057350047615,0.15810744828276735,0.12349828672199417,0.0,1.9073486328125e-06,1.0,0.10230673999911812,0.14318005459733768,1.1444091796875e-05,True
20,20,0.2807637277837787,0.15907232968986484,0.12169139809391383,0.0,1.9073486328125e-06,1.0,0.10054437050278602,0.14262675710228545,1.1444091796875e-05,True
50,20,0.2789896222332676,0.15714124167981397,0.12184838055345364,0.0,1.9073486328125e-06,1.0,0.10260688435820409,0.14097135091213206,1.1444091796875e-05,True
100,20,0.27970385379962714,0.15833659751858736,0.12136725628103977,0.0,1.9073486328125e-06,1.0,0.10116534204027361,0.14102788996967516,1.1444091796875e-05,True
200,20,0.27968935036132975,0.1576988312062575,0.12199051915507234,0.0,1.9073486328125e-06,1.0,0.1026191128189178,0.1416279548427451,1.1444091796875e-05,True
