patient_id,finetune_size,ssim_mean_pretrained,ssim_mean_scratch,difference
80,5,0.29358886971305526,0.19107110437406105,0.1025177653389942
80,10,0.3102337375142996,0.18726186455301636,0.12297187296128326
80,20,0.31540390520757117,0.19831428681488603,0.11708961839268514
80,50,0.31757549870208523,0.19258634798505456,0.12498915071703068
80,100,0.3178403811521301,0.19502839249210074,0.12281198866002935
80,200,0.3146858276822505,0.19338147612763204,0.12130435155461847
81,5,0.32399175082627707,0.15808123755619052,0.16591051327008655
81,10,0.33635738146960703,0.16904605295996514,0.1673113285096419
81,20,0.33671109794030774,0.16893793866592996,0.16777315927437778
81,50,0.3358248363845001,0.17292898233683968,0.16289585404766044
81,100,0.34007370285285915,0.17380050878835732,0.16627319406450183
81,200,0.3386652761848499,0.16747559360771505,0.17118968257713482
82,5,0.301410884606632,0.17426742142921092,0.1271434631774211
82,10,0.30051160743913735,0.15776053687365185,0.1427510705654855
82,20,0.29782401111637663,0.16068044399375428,0.13714356712262235
82,50,0.2899173986868894,0.15481497886127077,0.13510241982561866
82,100,0.2956543504898355,0.15354989912815456,0.14210445136168096
82,200,0.2941747612857776,0.1570960663330613,0.13707869495271627
83,5,0.29540970328139304,0.18654991399489912,0.10885978928649392
83,10,0.30977435867845055,0.19060098966456218,0.11917336901388836
83,20,0.31359910419413833,0.19551961226614917,0.11807949192798917
83,50,0.30748578010737604,0.1812684510257105,0.12621732908166555
83,100,0.3064014345730643,0.17740053335895337,0.12900090121411092
83,200,0.3099749588949994,0.1845636401438738,0.12541131875112557
84,5,0.3493093064781776,0.16254031163141347,0.18676899484676412
84,10,0.35828659756174125,0.1646561133752266,0.19363048418651466
84,20,0.36072582552598653,0.16538356065444998,0.19534226487153655
84,50,0.3585436403083576,0.170314548434957,0.18822909187340062
84,100,0.35632229264196796,0.16542279243932517,0.1908995002026428
84,200,0.35454588866756387,0.1673409902178346,0.18720489844972926
85,5,0.30517874587550764,0.16669725839959543,0.1384814874759122
85,10,0.3247186876303191,0.1744331185450087,0.15028556908531038
85,20,0.31250200880406587,0.17168825774200766,0.1408137510620582
85,50,0.3109144037174904,0.1697748796824508,0.1411395240350396
85,100,0.31111948348064117,0.16837381450052832,0.14274566898011284
85,200,0.31415353104347465,0.16930057828891135,0.1448529527545633
86,5,0.27870524922078754,0.14977900803757704,0.1289262411832105
86,10,0.2775261298079963,0.15042419578055005,0.12710193402744624
86,20,0.2641603396321895,0.14704677008628522,0.11711356954590427
86,50,0.25961944964081823,0.15332190865539036,0.10629754098542787
86,100,0.2568414672995893,0.15644859468131914,0.10039287261827015
86,200,0.2544986311332325,0.14776633509988651,0.106732296033346
87,5,0.32530710259558887,0.17050399905527175,0.15480310354031712
87,10,0.32530693656809084,0.16085655309277214,0.1644503834753187
87,20,0.3307422450776768,0.16899753979482987,0.16174470528284693
87,50,0.3347909260600449,0.16229530396198402,0.17249562209806088
