excluded_patient,mean_difference,t_stat,p_value,n_observations
80,0.12059121874155938,27.2852095401104,1.5005622907118898e-51,114
81,0.11805026274051764,27.443509161352328,8.49689630163122e-52,114
82,0.11962947383470937,27.148061540604964,2.4609503723260152e-51,114
83,0.12045913583234331,27.25013643598457,1.7026356026284806e-51,114
84,0.11681586359413881,28.195754663687733,5.886133539225042e-53,114
85,0.11930495377867908,27.152817525014825,2.419017430488143e-51,114
86,0.12081157219095445,27.365779450166873,1.12307617816783e-51,114
87,0.11824375392454481,27.37702530288277,1.0786132709690127e-51,114
88,0.11858781253149947,27.274950750703468,1.5570310913693275e-51,114
89,0.1255593301658916,32.5087004071825,3.518800648466498e-59,114
90,0.12259044133459072,28.287643867852413,4.263813262237246e-53,114
91,0.12335095847715921,29.019327127683795,3.3643451521875774e-54,114
92,0.1168013133626341,28.23290265709466,5.166281870427036e-53,114
93,0.11823079774323547,27.400329645852246,9.920375741591833e-52,114
94,0.12312922759012052,28.825949052022782,6.551045807558138e-54,114
95,0.12357764028091826,29.23366296441647,1.6137845379851754e-54,114
96,0.12260123003068554,28.300885466781615,4.0704959254703826e-53,114
97,0.12227794202439392,28.059910041804944,9.49462479095688e-53,114
98,0.11968594923953038,27.145491255345615,2.4839163325590536e-51,114
99,0.11954840327562935,27.177008967362912,2.2166074587297842e-51,114
