finetune_size,pretrained_mean_ssim,scratch_reference_mean_ssim,difference_from_reference
5,0.2711767324615914,0.1576988312062575,0.11347790125533391
10,0.2816057350047615,0.1576988312062575,0.123906903798504
20,0.28076372778377867,0.1576988312062575,0.12306489657752118
50,0.2789896222332676,0.1576988312062575,0.12129079102701013
100,0.2797038537996271,0.1576988312062575,0.1220050225933696
200,0.2796893503613298,0.1576988312062575,0.12199051915507231
